0,1,2
1,GBPUSD,"[[200.6, 110.0], [130.34, 135.0], [46.22, 160.0], [17.3, 10.0], [-70.23, 35.0], [-90.34, 185.0], [-219.64, 60.0], [-228.15, 210.0], [-495.04, 85.0]]"
1,GBPUSD,"[[-182.52, 35.0], [-489.9, 10.0], [-495.01, 210.0], [-495.01, 185.0], [-495.04, 160.0], [-495.97, 135.0], [-506.29, 60.0], [-535.05, 110.0], [-592.02, 85.0]]"
1,GBPUSD,"[[156.33, 210.0], [121.0, 60.0], [52.33, 35.0], [-30.02, 110.0], [-34.36, 85.0], [-93.6, 10.0], [-495.13, 185.0], [-531.05, 135.0], [-581.36, 160.0]]"
1,GBPUSD,"[[156.33, 210.0], [121.0, 60.0], [52.33, 35.0], [-30.02, 110.0], [-34.36, 85.0], [-93.6, 10.0], [-495.13, 185.0], [-531.05, 135.0], [-581.36, 160.0]]"
1,GBPUSD,"[[38.67, 135.0], [35.17, 35.0], [-47.45, 210.0], [-47.45, 185.0], [-47.45, 160.0], [-71.7, 10.0], [-135.45, 60.0], [-380.24, 85.0], [-495.2, 110.0]]"
1,GBPUSD,"[[305.53, 210.0], [271.29, 185.0], [254.97, 85.0], [248.36, 135.0], [244.97, 160.0], [242.12, 60.0], [124.5, 35.0], [-50.6, 10.0], [-111.68, 110.0]]"
2,GBPUSD,"[[782.12, 85.0], [386.26, 110.0], [279.37, 60.0], [-2.94, 35.0], [-33.9, 10.0], [-93.33, 185.0], [-155.12, 135.0], [-492.75, 160.0], [-492.81, 210.0]]"
2,GBPUSD,"[[328.39, 85.0], [257.52, 210.0], [254.58, 110.0], [75.07, 60.0], [43.4, 10.0], [-41.38, 35.0], [-292.24, 135.0], [-302.33, 160.0], [-492.15, 185.0]]"
2,GBPUSD,"[[-66.2, 10.0], [-212.36, 35.0], [-467.35, 160.0], [-478.4, 135.0], [-492.33, 185.0], [-492.4, 60.0], [-492.55, 210.0], [-493.42, 110.0], [-493.82, 85.0]]"
2,GBPUSD,"[[225.61, 35.0], [200.45, 60.0], [-11.48, 135.0], [-62.4, 10.0], [-277.24, 160.0], [-336.02, 185.0], [-388.66, 210.0], [-473.34, 110.0], [-492.58, 85.0]]"
2,GBPUSD,"[[524.3, 160.0], [464.83, 135.0], [65.3, 35.0], [-42.2, 10.0], [-78.96, 85.0], [-101.4, 60.0], [-206.62, 110.0], [-493.39, 185.0], [-499.87, 210.0]]"
2,GBPUSD,"[[279.11, 110.0], [203.02, 85.0], [193.73, 35.0], [14.48, 60.0], [-79.33, 135.0], [-84.1, 10.0], [-493.9, 210.0], [-493.9, 185.0], [-496.62, 160.0]]"
2,GBPUSD,"[[1084.48, 160.0], [884.23, 135.0], [773.06, 210.0], [700.4, 185.0], [223.23, 35.0], [155.45, 110.0], [-19.03, 10.0], [-105.89, 60.0], [-494.5, 85.0]]"
2,GBPUSD,"[[1268.75, 135.0], [139.5, 35.0], [33.28, 110.0], [15.97, 60.0], [-156.4, 10.0], [-494.33, 210.0], [-494.36, 85.0], [-494.48, 185.0], [-494.98, 160.0]]"
